Australia,Brazil,Canada,Japan,USA,England,Germany,Spain,France,Italy,Netherlands,Poland,Sweden
John,Jose,David,Hiroshi,Michael,John,Michael,Jose,Marie,Alberta,Peter,Anna,Lars
Peter,Joao,Robert,Shigeru,Robert,Michael,Wolfgang,Juan,Michel,Andrea,Hans,Tomasz,Eva
Michael,Antonio,Michael,Sachiko,David,Paul,Thomas,Francisco,Claude,Angelica,Rob,Marcin,Per
Paul,Ana,Paul,Masako,James,Andrew,Klaus,Antonio,Dominique,Angelino,Henk,Krzysztof,Karl
Andrew,Francisco,Richard,Katsumi,Mary,Peter,Werner,Ana,Philippe,Antonia,Paul,Katarzyna,Jan
Mark,Luiz,James,Yoko,William,James,Manfred,Manuel,Francis,Antonio,Jeroen,Agnieszka,Karin
Robert,Carlos,Peter,Michiko,Richard,Robert,Ursula,Miguel,Pierre,Aurelio,Monique,Joanna,Hans
Ian,Paulo,William,Toshio,Thomas,Mark,Maria,Carmen,Alain,Cecilia,Frank,Magdalena,Nils
Chris,Pedro,Brian,Yoshiko,Linda,Richard,Hans,David,Nathalie,Cesare,Marcel,Andrzej,Maria
Steven,Manoel,Mary,Hiromi,Mark,Susan,Heinz,Luis,Bernard,Claudia,John,Marek,Sven
James,Marcos,Linda,Hiroko,Charles,Stephen,Andreas,Carlos,Isabelle,Claudio,Karin,Maciej,Erik
Tony,Lucas,Daniel,Yoshio,Joseph,Margaret,Jürgen,Jesus,Andre,Cristiana,Erik,Grzegorz,Johan
Greg,Francisca,Mark,Kazuo,Patricia,Sarah,Monika,Javier,Patrick,Debora,Wim,Robert,Anders
Benjamin,Raimundo,Chris,Akira,Barbara,Christopher,Helmut,Pedro,Catherine,debora,Sandra,Monika,Bengt
Julie,Gabriel,Karen,Keiko,Jennifer,Ian,Gerhard,Daniel,Daniel,Debora,Mark,Adam,Carl
Richard,Rafael,Jennifer,Hisako,Paul,Steven,Petra,Isabel,Jacques,Edoardo,Esther,Ewa,Bo
Karen,Antonia,Lisa,Yoshimi,Maria,Thomas,Günter,Jose-Antonio,Sylvie,Edoardo,Linda,Jacek,Lena
Tim,Marcelo,Susan,Fumiko,Susan,William,Renate,Rosa,Christian,Elisabetta,Robert,Wojciech,Ingrid
Jason,Sebastiao,Michel,Masao,Daniel,Alan,Helga,Angel,Eric,Emilia,Jos,Marta,Kerstin
Michelle,Daniel,Kevin,Toshiko,Steven,Anthony,Karin,Laura,Thierry,Eugenio,Johan,Mariusz,Mats
Stephen,Luis,George,Kiyoshi,Lisa,Patricia,Dieter,Alejandro,Christophe,Fabiola,Bart,Pawel,Leif
Daniel,Eduardo,Jean,Takashi,Karen,Elizabeth,Horst,Jose-Luis,Laurent,Francesca,Petra,Michal,Ulf
Helen,Bruno,Ken,Yukio,Brian,Mary,Sabine,Josefa,Pascal,Giorgio,Ronald,Micha_,Björn
Scott,Rodrigo,Steven,Hideo,Elizabeth,Simon,Brigitte,Francisco-Javier,Rene,Giovanni,Richard,Pawe_,Inger
Sue,Fernando,Jim,Koshi,Nancy,Julie,Josef,Rafael,Monique,Giuseppe,Rene,Karolina,Sara
Craig,Jorge,Andrew,Yasuko,Donald,Brian,Ingrid,Ana-Maria,Christine,Gloria,Yvonne,Dariusz,Ulla
Elizabeth,Adriana,Michelle,Koichi,Kevin,Karen,Elisabeth,Cristina,Joseph,Gregori,Martin,Artur,Kjell
Matthew,Andre,Eric,Reiko,Gary,Christine,Frank,Marta,Olivier,iolanda,Ellen,Aleksandra,Peter
Sarah,Fabio,Pierre,Koji,Scott,Daniel,Andrea,Pablo,Martine,Jessica,Anne,Jakub,Emma
William,Matheus,Ron,Takeshi,George,Helen,Gisela,Maria-Pilar,Anne,Leo,Ingrid,Mateusz,Stig
Simon,Marcia,Don,Takako,Carol,Martin,Walter,Jorge,Nicolas,Lidia,Bert,Dorota,Linda
Lisa,Leonardo,Nancy,Tadashi,Michelle,Emma,Bernd,Fernando,Robert,Lidia,Martijn,Jan,Rolf
Anthony,Guilherme,Andre,Miyoko,Edward,Linda,Erika,Jose-Manuel,Sandrine,Livia,Patrick,Beata,John
Kate,Juliana,Gary,Tomiko,Donna,Matthew,Karl,Francisca,Valerie,Lucia,Marco,Justyna,Malin
Thomas,Fernanda,Thomas,Emiko,Sandra,Kevin,Christa,Miguel-Angel,Jean-Pierre,Lucio,Marieke,Barbara,Jenny
Brian,Leandro,Frank,Shizuko,Kenneth,Jean,Claudia,Antonia,David,Maria,Kim,Agata,Daniel
Gary,Felipe,Kim,Noriko,Chris,Philip,Herbert,Alberto,Jacqueline,Maria,Bas,Ma_gorzata,Marie
Adam,Ricardo,Kelly,Yuko,Jason,Jane,Martin,Sergio,Roger,Marta,Kees,Kamil,Siv
Kim,Marcio,Jason,Kiyoko,Ronald,Janet,Birgit,Lucia,Sophie,Matteo,Frans,Lukasz,Elin
Geoff,Patricia,Diane,Ko,Larry,Lisa,Christine,Jose-Maria,Guy,mo,Michael,Iwona,Jonas
Alan,Edson,Donna,Nobuko,Christopher,Gary,Susanne,Dolores,Jean-Claude,Monica,Gerard,Kasia,Åsa
Rebecca,Sandra,Julie,Mieko,Jose,Claire,Christian,Maria-Isabel,Didier,Natalia,Jolanda,Bartosz,Hanna
Matt,Roberto,Claude,Yoshie,Sharon,Nicola,Stefan,Maria-Jose,Bruno,Nicola,Willem,Daniel,Fredrik
Wayne,Gustavo,Jeff,Shoji,Anthony,Colin,Heike,Elena,Nicole,Olga,Dennis,Zbigniew,Annika
